1492332633	NA;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia_coli
1673380810	NA;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella_pneumoniae
1243426648	NA;Bacillota;Bacilli;NA;Staphylococcaceae;Staphylococcus;Staphylococcus_aureus
1002421060	NA;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella_enterica
1429301359	NA;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus_pneumoniae
521009295	NA;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter_baumannii
1625959342	NA;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas_aeruginosa
1644506006	NA;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium_tuberculosis
946724749	NA;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;NA;NA
1893586794	NA;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus_faecalis
849430300	NA;NA;Clostridia;Peptostreptococcales;Peptostreptococcaceae;Clostridioides;Clostridioides_difficile
443266324	NA;Campylobacterota;NA;Campylobacterales;Campylobacteraceae;NA;NA
1839016657	NA;Bacillota;Bacilli;Lactobacillales;Listeriaceae;Listeria;Listeria_monocytogenes
1766031220	NA;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Neisseriaceae;Neisseria;Neisseria_meningitidis
538510129	NA;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Vibrionaceae;Vibrio;Vibrio_parahaemolyticus
614703422	NA;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus_pyogenes
1312889551	NA;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium_abscessus
1170879058	NA;Bacillota;Bacilli;Lactobacillales;Listeriaceae;Listeria;NA
1454326053	NA;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;Burkholderia_mallei
893587188	NA;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus_agalactiae
1719142820	NA;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus_suis
1959598495	NA;Bacillota;Bacilli;NA;Staphylococcaceae;Staphylococcus;Staphylococcus_epidermidis
1268327440	NA;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;NA
273369785	NA;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;NA;NA
574128450	NA;Campylobacterota;NA;Campylobacterales;Campylobacteraceae;NA;NA
541806011	NA;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Bordetella;Bordetella_pertussis
1075508380	NA;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;Muribaculum_gordoncarteri
168197781	NA;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Neisseriaceae;Neisseria;Neisseria_gonorrhoeae
1975747283	NA;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella_quasipneumoniae
1790165258	NA;Pseudomonadota;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Wolbachia;Wolbachia_pipientis
371156238	NA;Pseudomonadota;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Brucella;Brucella_melitensis
1053159854	NA;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia_muciniphila
2026052587	NA;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Ligilactobacillus;Ligilactobacillus_murinus
1568989406	NA;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactiplantibacillus;Lactiplantibacillus_plantarum
1260258497	NA;Pseudomonadota;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;Legionella_pneumophila
934428921	NA;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Proteus;Proteus_mirabilis
1119399392	NA;Pseudomonadota;Gammaproteobacteria;NA;Francisellaceae;Francisella;Francisella_tularensis
1174765528	NA;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola_vulgatus
407590183	NA;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella_freteri
755164149	NA;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter_freundii
267414054	NA;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella_variicola
85512518	NA;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;NA
2095192488	NA;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella_muris
395994160	NA;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Yersinia;Yersinia_pestis
1282407240	NA;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus_subtilis
1159313972	NA;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Paramuribaculum;Paramuribaculum_intestinale
1385052072	NA;Bacillota;Bacilli;Bacillales;NA;NA;NA
